frame_index,frame_name,time_seconds,timestamp,abs_timestamp,ground,environment,objects,score
1000,DJI_0412_frame_001000,3780.96,1:03:00,,0;1;0;0,0.0062;0.0000;0.5154,0;0;0,67.32
1125,DJI_0412_frame_001125,3785.96,1:03:05,,0;1;0;0,0.0071;0.0000;0.5052,0;1;1,41.91
1250,DJI_0412_frame_001250,3790.96,1:03:10,,0;1;0;0,0.0067;0.0000;0.5139,0;0;2,51.56
1375,DJI_0412_frame_001375,3795.96,1:03:15,,0;1;0;0,0.0067;0.0000;0.5132,0;0;2,51.56
1500,DJI_0412_frame_001500,3800.96,1:03:20,,0;1;0;0,0.0071;0.0000;0.5059,0;1;1,41.91
1625,DJI_0412_frame_001625,3805.96,1:03:25,,0;1;0;0,0.0078;0.0000;0.5103,0;0;1,58.33
1750,DJI_0412_frame_001750,3810.96,1:03:30,,0;1;0;0,0.0073;0.0000;0.5016,0;1;1,41.92
1875,DJI_0412_frame_001875,3815.96,1:03:35,,0;1;0;0,0.0085;0.0000;0.5070,1;1;1,44.09
2000,DJI_0412_frame_002000,3820.96,1:03:40,,0;1;0;0,0.0052;0.0000;0.4872,2;1;1,46.51
2125,DJI_0412_frame_002125,3825.96,1:03:45,,0;1;0;0,0.0076;0.0000;0.5107,2;0;2,61.05
2250,DJI_0412_frame_002250,3830.96,1:03:50,,0;1;0;0,0.0000;0.0000;0.5987,0;0;9,34.35
2375,DJI_0412_frame_002375,3835.96,1:03:55,,1;0;0;0,0.0009;0.0000;0.6486,0;0;6,43.82
2500,DJI_0412_frame_002500,3840.96,1:04:00,,0;1;0;0,0.0116;0.0000;0.5134,0;0;0,67.6
2625,DJI_0412_frame_002625,3845.96,1:04:05,,0;1;0;0,0.0413;0.0000;0.4606,0;6;0,34.31
2750,DJI_0412_frame_002750,3850.96,1:04:10,,0;1;0;0,0.2499;0.0000;0.2147,0;6;0,46.61
2875,DJI_0412_frame_002875,3855.96,1:04:15,,0;1;0;0,0.3309;0.0000;0.1160,0;2;0,56.73
3000,DJI_0412_frame_003000,3860.96,1:04:20,,0;1;0;0,0.0918;0.0000;0.2347,0;2;3,41.52
3125,DJI_0412_frame_003125,3865.96,1:04:25,,0;1;0;0,0.1857;0.0000;0.2703,0;2;0,47.73
3250,DJI_0412_frame_003250,3870.96,1:04:30,,0;1;0;0,0.1832;0.0000;0.1659,0;2;2,48.77
3375,DJI_0412_frame_003375,3875.96,1:04:35,,1;0;0;0,0.2083;0.0000;0.3073,1;4;5,49.08
3500,DJI_0412_frame_003500,3880.96,1:04:40,,0;1;0;0,0.0423;0.0000;0.4677,0;8;0,34.25
3625,DJI_0412_frame_003625,3885.96,1:04:45,,0;1;0;0,0.0636;0.0000;0.4249,0;7;0,35.55
3750,DJI_0412_frame_003750,3890.96,1:04:50,,0;1;0;0,0.1562;0.0000;0.3871,0;4;0,40.4
3875,DJI_0412_frame_003875,3895.96,1:04:55,,0;1;0;0,0.5592;0.0000;0.0735,0;7;0,55.89
4000,DJI_0412_frame_004000,3900.96,1:05:00,,0;1;0;0,0.3126;0.0000;0.1621,0;3;0,51.52
4125,DJI_0412_frame_004125,3905.96,1:05:05,,0;1;0;0,0.3038;0.0000;0.0703,0;9;0,53.93
4250,DJI_0412_frame_004250,3910.96,1:05:10,,0;1;0;0,0.2560;0.0000;0.1653,0;5;1,48.58
4375,DJI_0412_frame_004375,3915.96,1:05:15,,0;1;0;0,0.1741;0.0000;0.0655,0;2;1,55.13
4500,DJI_0412_frame_004500,3920.96,1:05:20,,1;0;0;0,0.1653;0.0000;0.0053,0;0;3,78.39
4625,DJI_0412_frame_004625,3925.96,1:05:25,,0;1;0;0,0.1855;0.0000;0.0637,0;2;1,55.61
4750,DJI_0412_frame_004750,3930.96,1:05:30,,0;1;0;0,0.0441;0.0000;0.3365,0;6;0,35.21
4875,DJI_0412_frame_004875,3935.96,1:05:35,,0;1;0;0,0.0787;0.0000;0.3138,0;6;0,37.5
5000,DJI_0412_frame_005000,3940.96,1:05:40,,1;0;0;0,0.2080;0.0000;0.1599,0;3;0,55.01
5125,DJI_0412_frame_005125,3945.96,1:05:45,,1;0;0;0,0.2949;0.0000;0.1011,0;1;0,70.98
5250,DJI_0412_frame_005250,3950.96,1:05:50,,1;0;0;0,0.1910;0.0000;0.2540,0;2;0,54.32
5375,DJI_0412_frame_005375,3955.96,1:05:55,,1;0;0;0,0.4419;0.0000;0.0228,0;0;0,98.68
5500,DJI_0412_frame_005500,3960.96,1:06:00,,1;0;0;0,0.6038;0.0000;0.0000,0;0;0,100.0
5625,DJI_0412_frame_005625,3965.96,1:06:05,,1;0;0;0,0.4509;0.0000;0.0000,0;0;0,100.0
5750,DJI_0412_frame_005750,3970.96,1:06:10,,1;0;0;0,0.4099;0.0000;0.0000,0;0;0,100.0
5875,DJI_0412_frame_005875,3975.96,1:06:15,,1;0;0;0,0.2316;0.0000;0.0000,0;0;0,100.0
6000,DJI_0412_frame_006000,3980.96,1:06:20,,1;0;0;0,0.2728;0.0000;0.0009,0;0;0,99.92
6125,DJI_0412_frame_006125,3985.96,1:06:25,,1;0;0;0,0.2430;0.0000;0.1931,0;0;0,88.05
6250,DJI_0412_frame_006250,3990.96,1:06:30,,1;0;0;0,0.1768;0.0000;0.0319,0;0;0,95.88
